Source:,C:\Users\AaronN\Desktop\Personal\PersonalProjects\PulseOximeterWatch\hardware\max86141_Rev_A\max86141_Rev_A.kicad_sch,,,,,,,
Date:,6/18/2022 2:47:54 PM,,,,,,,
Tool:,Eeschema (6.0.0),,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/AaronsFavoriteBOMScript.py,,,,,,,
Component Count:,109,,,,,,,
Ref,Qnty,Value,Cmp name,Description,Manufacturer,Part Number,JLCPCB,JLC Number
"C3, C4, C5, C6, C40, C44, ",6,12pF,12pF,CAP CER 12PF 50V C0G/NPO 0402,YAGEO,311-1641-1-ND,,
"C7, ",1,0.8pF,0.8pF,CAP CER 0.8PF 50V C0G/NPO 0402,YAGEO,311-3711-1-ND,,
"C8, C9, C21, C25, C28, C30, C36, C37, C41, ",9,2.2uF,2.2uF,CAP CER 2.2UF 10V X5R 0603,Samsung Electro-Mechanics,1276-1085-1-ND,Yes,C23630
"C10, C26, ",2,4.7uF,4.7uF,CAP CER 4.7UF 16V X5R 0603,Samsung Electro-Mechanics,1276-1784-1-ND,,
"C11, C13, C14, C15, C20, C23, C24, C27, C29, C31, C33, C35, C39, C42, C43, C45, ",16,0.1uF,0.1uF,CAP CER 0.1UF 25V X5R 0402,Samsung Electro-Mechanics,1276-1043-1-ND,Yes,C307331
"C12, ",1,100pF,100pF,CAP CER 100PF 50V C0G/NP0 0603,KEMET,399-C0603C101M5GAC7867CT-ND,,
"C16, C38, ",2,10uF,10uF,CAP CER 10UF 16V X5R 0805,Samsung Electro-Mechanics,1276-2893-1-ND,Yes,C15850
"C17, C18, C22, C46, C47, ",5,1uF,1uF,CAP CER 1UF 10V X5R 0402,Samsung Electro-Mechanics,1276-1076-1-ND,Yes,C52923
"C19, ",1,22uF,22uF,CAP CER 22UF 10V X5R 0603,Samsung Electro-Mechanics,1276-1274-1-ND,,
"CN1, ",1,CONMHF4-SMD-G-T,CONMHF4-SMD-G-T,CONN MHF4 JACK STR SMD,Linx Technologies Inc.,343-CONMHF4-SMD-G-TCT-ND,,
"CN2, ",1,USB4110-GF-A_REVB,USB4110-GF-A_REVB,SMD USB 2.0-only Type-C Receptacle connector,GCT,2073-USB4110-GF-A-1-ND,,
"CN3, ",1,FTSH-105,FTSH-105,CONN HEADER SMD 10POS 1.27MM,Personal,Personal,,
"CN4, CN5, ",2,S2B-PH-SM4-TB(LF)(SN),S2B-PH-SM4-TB(LF)(SN),JST PH R/A CONN HEADER SMD R/A 2POS 2MM,JST Sales America Inc.,455-1749-1-ND,,
"FB1, ",1,BLM15PX601SN1D,BLM15PX601SN1D,FERRITE BEAD 600 OHM 0402 1LN,Murata Electronics,490-9657-1-ND,,
"L1, ",1,LQG15HN3N9S02D,LQG15HN3N9S02D,FIXED IND 3.9NH 700MA 190MOHM SM,Murata Electronics,490-1079-1-ND,,
"L2, ",1,MBKK1608TR47N,MBKK1608TR47N,FIXED IND 470NH 1.4A 104MOHM SMD,Taiyo Yuden,587-4154-1-ND,,
"LED1, ",1,19-213SUBC/S400-A5/S208-2/TR8,19-213SUBC{slash}S400-A5{slash}S208-2{slash}TR8,LED BLUE CLEAR 2SMD,Everlight Electronics Co Ltd,1080-1581-1-ND,Yes,C72041
"LED2, ",1,EAST1616RGBB4,EAST1616RGBB4,LED RGB CLEAR 4SMD,Everlight Electronics Co Ltd,1080-1552-1-ND,,
"Q1, Q2, Q3, Q4, Q5, ",5,BSS138W-7-F,BSS138W-7-F,"50V Vds, 0.2A Id, N-Channel MOSFET, SOT-323",Diodes Incorporated,BSS138W-FDICT-ND,,
"R1, R4, R5, R7, R8, R9, ",6,0,0,RES 0 OHM JUMPER 1/16W 0402,Stackpole Electronics Inc,RMCF0402ZT0R00CT-ND,Yes,C17168
"R2, R3, ",2,5.1k,5.1k,RES 5.1K OHM 1% 1/16W 0402,YAGEO,311-5.10KLRCT-ND,,
"R6, R12, R14, R16, R17, R19, R22, R24, R26, R32, R38, ",11,10k,10k,RES 10K OHM 1% 1/16W 0402,Stackpole Electronics Inc,RMCF0402FT10K0CT-ND,Yes,C25744
"R10, ",1,0.05,0.05,RES 0.05 OHM 1% 1/5W 0603,Ohmite,273-KDV06FR050ETCT-ND,,
"R11, R28, R29, R30, R31, R33, R34, R37, ",8,4.7k,4.7k,RES 4.7K OHM 1% 1/16W 0402,Stackpole Electronics Inc,RMCF0402FT4K70CT-ND,Yes,C25900
"R13, R15, R18, R20, R23, R25, R27, ",7,100,100,RES 100 OHM 1% 1/16W 0402,Stackpole Electronics Inc,RMCF0402FT100RCT-ND,Yes,C25076
"R21, ",1,330,330,RES 330 OHM 1% 1/16W 0402,YAGEO,311-330LRCT-ND,,
"R35, R36, ",2,47k,47k,RES 47K OHM 1% 1/16W 0402,Stackpole Electronics Inc,RMCF0402FT47K0CT-ND,,
"SW1, SW2, ",2,EVQ-P7L01P,EVQ-P7L01P,R/A SWITCH TACTILE SPST-NO 0.05A 12V,Panasonic Electronic Components,P16769CT-ND,,
"U1, ",1,NRF52832-QFAA-R,NRF52832-QFAA-R,"Multiprotocol BLE/2.4GHz Cortex-M4 SoC, QFN-48",Personal,Personal,Yes,C77540
"U2, ",1,FAN48610UC50X,FAN48610UC50X,IC REG BOOST 5V 1A 9WLCSP,onsemi,FAN48610UC50XCT-ND,,
"U3, ",1,LTC2943IDD#PBF,LTC2943IDD#PBF,IC BATT MONITOR MULTI-CHEM 8DFN,Personal,Personal,,
"U4, ",1,MCP1725T-3302E/MC,MCP1725T-3302E{slash}MC,IC REG LINEAR 3.3V 500MA 8DFN,Personal,Personal,,
"U5, ",1,BQ24232HARGTR,BQ24232HARGTR,IC BATT CHG LI-ION 1CELL 16QFN,Personal,Personal,,
"U6, ",1,TLV74018PDBVR,TLV74018PDBVR,IC REG LINEAR 1.8V 300MA SOT23-5,Texas Instruments,296-TLV74018PDBVRCT-ND,,
"U7, ",1,PCA9306FMUTCG,PCA9306FMUTCG,IC TRNSLTR BIDIRECTIONAL 8UDFN,onsemi,PCA9306FMUTCGOSCT-ND,,
"U8, ",1,MAX86150EFF+T,MAX86150EFF+T,3RD GEN HIGH-ACCURACY PULSE OXIM,Analog Devices Inc./Maxim Integrated,MAX86150EFF+TCT-ND,,
"U9, ",1,MXC6655XA,MXC6655XA,DIGITAL THREE-AXIS ACCELEROMETER,Memsic Inc.,1267-MXC6655XACT-ND,,
"Y1, ",1,XRCGB32M000F2P01R0,XRCGB32M000F2P01R0,CRYSTAL 32.0000MHZ 8PF SMD,Murata Electronics,490-18340-1-ND,,
"Y2, ",1,CM8V-T1A-32.768KHZ-9PF-20PPM-TA-QC,CM8V-T1A-32.768KHZ-9PF-20PPM-TA-QC,CRYSTAL 32.7680KHZ 9PF SMD,Micro Crystal AG,2195-CM8V-T1A-32.768KHZ-9PF-20PPM-TA-QCCT-ND,,
